Paragraph,Labels,Grade
"p-type semiconductor

When pure Si or Ge which has four valency electrons is doped with controlled amount of trivalent atoms, like Gallium, Indium, Boron or Aluminium, we get a p-type semiconductor
The three valence electron from the impure atom will combine with three electrons of the Si or Ge atom to form 3 covalent bonds
There will be one unbounded electron in the Ge atom which would try to form a covalent bond with the neighbouring Ge atom
This Ge-Ge covalent bond creates a deficiency of electron in Ge atom. Thus, creating a hole
This hole is compensated by the breakage of Ge-Ge covalent bond in the neighbourhood. Hence, electron moves towards the hole, resulting in hole formation at some other place
The trivalent atoms are called acceptor atoms and conduction of electricity is due to the motion of holes
Thus in p-type semiconductors, holes are the majority carriers and electrons are minority carriers


Energy band theory

Si or Ge doped with impurities like Aluminium, produces energy level which is situated in the energy gap slightly above the valence band
This is called as acceptor energy level
At room temperature, the electrons in the valence band can easily be transferred to the acceptor level. This produces a large number of holes in the valence band.
The valence band becomes the hole conducting band","Property, Reasoning, Examples, Definition",Grade_12_Physics_Data
"p-n junction formation

A p-n junction is the basic building block of many semiconductor devices like diodes, transistor etc.
 

Consider a thin p-type silicon semiconductor wafer. Convert a part of the p-type semiconductor into n-type silicon semiconductor by adding a small quantity of pentavalent impurity
The holes are the majority carriers in the p-type semiconductor and electrons are the majority carriers in the n-type semiconductor


In n-type semiconductor, the concentration of electrons is more compared to the concentration of holes. Similarly, in p-type semiconductor, the concentration of holes is more compared to the concentration of electrons
The first process that occurs in the p-n semiconductor is diffusion
In the formation of the p-n junction, due to the concentration gradient across the p and the n sides, the electrons diffuse from n region to p region and the holes diffuse from p region to n region


Diffusion current –
The motion of charge carriers due to the difference in concentration in two regions of the p-n junction, across the junction gives rise to diffusion current
As the diffusion continues, it leaves behind a positive charge on the n-side close to the junction. This positive charge, also called as ionised donor is immobile due to bonding with the surrounding atoms
Similarly, in the p-region, close to the junction, there is a negative charge or acceptor ions which are immobile
 

Depletion region formation –
The space charge region on both sides of the p-n junction has immobile ions and is also devoid of any charge carriers
This results in the formation of depletion region near the junction
Field setup –
The depletion region formation results in setting up a field at the junction
The field set up along the junction acts like a fictitious battery connected across the junction with positive terminal connected to the n-region


Barrier creation –
The electric field at the junction sets a barrier which opposes further diffusion of majority charge carriers through the junction
Thus, the barrier gets created at the junction prevents further diffusion
Width of the barrier – The physical distance from one side of the barrier to the other is called the width of the barrier
Height of the barrier –The difference in potential from one side of the barrier to the other side is known as the height of the barrier
Drift current
Due to the electric field developed at the junction, the electrons from the p-region move to the n-region. Similarly, the hole from the n-region move to the p-region. This results in drift current
The motion of charge carriers across the junction due to the electric field is called drift. This results in drift current
Drift current Vs Diffusion current
The drift current is in a direction opposite to that of the diffusion current
At a particular stage, the drift current becomes equal to the diffusion current
This stage is set to be equilibrium state when no current flows across the p-n junction
Potential barrier becomes maximum and is equal to VB
Thus, a p-n junction is formed. Thus, in a p-n junction under equilibrium there is no net current
The diagram below shows the p-n junction at equilibrium. . The n-material has lost some electrons and the p-material has acquired the electrons


Thus the n material is positive with respect to p material. The potential also prevents the movement of electron from the n-region to the p-region. This potential is called the barrier potential and is indicated as


When doping concentration is small, the electrons or holes move a large distance before collision with another electron or hole
Hence, the width of the p-n junction becomes large
As width of p-n junction increases, the electric field becomes small","Definition, Property, Reasoning, Relation",Grade_12_Physics_Data
"p-n junction diode

A semiconductor diode is a p-n junction with metallic contacts provided at the ends for the application of an external voltage
Thus p-n junction diode is a two terminal device represented as


The equilibrium potential barrier can be altered by applying an external voltage V across the diode
There are two methods of biasing a p-n unction – Forward bias and reverse bias","Definition, Property, Types",Grade_12_Physics_Data
"Forward biasing

If the positive terminal of the external battery is connected to the p-side and the negative terminal of the external battery is connected to the n-side, then the p-n junction is said to be forward biased


The direction of the applied voltage V is in a direction opposite to that of the potential barrier setup at the junction


As a result of this, the depletion layer width decreases and the barrier height is reduced. The effective barrier height under forward bias is VB – V
If the applied voltage V is small, the barrier potential will be reduced only slightly below the equilibrium value. Hence, only small number carriers will possess energy to cross the junction. Thus, the current is small
If the applied voltage V is large, the barrier potential will be reduced significantly. Hence, the current is significant
Due to the applied voltage, the electrons from the n-side cross the depletion region and reach the p-side. Similarly, the holes from the p-side reach the n-side
As electrons reach the p-side and electrons are minority carriers in p-region, the forward bias is also known as minority carrier injection
At the junction, the minority carrier concentration increases significantly
Due to concentration gradient, the injected electrons on p-side diffuse from the junction edge of p-side to the other end of the p-side
Similarly, the injected holes on the n-side diffuse from the junction edge of n-side to the other end of n-side
The motion of charged carriers on either side gives rise to current and is usually measured in mA
The total diode forward current is sum of hole diffusion current and conventional current due to electron diffusion","Definition, Property, Formula, Relation, Reasoning",Grade_12_Physics_Data
"Reverse biasing

If the positive terminal of the external battery is connected to the n-side and the negative terminal of the external battery is connected to the p-side, then the p-n junction is said to be reverse biased


The direction of the applied voltage is same as that of the barrier potential
As a result, the barrier height increases and the depletion region widens due to change in electric field
The effective barrier height is VB + V
This suppresses the flow of electrons from n region to p region and holes from the p region to n region. Hence, diffusion current decreases
The electric field direction of the junction is such that if electrons on p-side or holes on n-side in their random motion come close to the junction, they will be swept to its majority zone. This gives rise to drift current of order of few µA
The diode reverse current is not much dependent on the applied voltage. Even a small voltage is sufficient to sweep the minority carriers from one side of the junction to the other side of the junction
The current under reverse bias is essentially voltage independent up to a critical reverse bias voltage, known as breakdown voltage VBE
When V = VBE, the diode reverse current increases sharply. If the current is not limited, the p-n junction will get destroyed","Definition, Property, Formula, Relation, Reasoning",Grade_12_Physics_Data
"Characteristics of a p-n junction diode

There are two types of characteristics – Forward characteristics and Reverse characteristics



Forward characteristics

The graphical relationship between the forward bias voltage applied and the forward current through the p-n junction is called forward characteristics

We use a milliammeter in forward bias as the expected current is large
The current increases very slowly, almost negligibly, till the voltage across the diode crosses certain value
After this voltage, the current increases exponentially, even for a very small increase in the diode bias voltage. This voltage is called the threshold voltage or cut-in voltage which is 0.2V for germanium diode and 0.7 for silicon diode
Reverse characteristics

The graphical relationship between the reverse bias voltage applied and the reverse current through the p-n junction is called reverse characteristics

In reverse bias, we use micro ammeter, as the current is very small
The current almost remains constant even if voltage is increased and it is called reverse saturation current","Types, Definition, Property, Reasoning",Grade_12_Physics_Data
"Application of junction diode as a Rectifier

Rectifier is a device which is used for converting alternating current or voltage into direct current or voltage
A p-n junction diode can be used as a half-wave and full-wave rectifier
The resistance of a p-n junction diode becomes low when forward biased and becomes high when reverse biased. This is the principle of the working of rectifier","Definition, Property, Relation",Grade_12_Physics_Data
"Half-wave Rectifier

Circuit Diagram:



Transformer with primary and secondary coils
Diode
Load resistance RL
The AC voltage to be rectified is connected between the primary of the transformer
To one coil of the secondary , the p junction of the diode is connected
The output is measured across the load resistance RL
 Input and output:



Working:

Case 1

During the positive half cycle of the input AC voltage, suppose P1 is negative and P2 is positive
On account of inductance, S1 becomes positive and S2 becomes negative
The p-n junction is forward biased and hence the resistance of the p-n junction diode becomes low
Hence, current flows in the circuit and we get output across the load resistance RL
This is indicated in the graph above
Case 2

During the negative half cycle of the input AC voltage, suppose P1 is positive and P2 is negative
On account of inductance, S1 becomes negative and S2 becomes positive
The p-n junction is reverse biased and hence the resistance of the p-n junction diode becomes high
Hence, no current flows in the circuit and we do not get any output across the load resistance RL
This is indicated in the graph above
The above process is repeated. Thus , we have current only in the positive half of the cycle. Hence, if is called as half-wave rectifier

The output signal is not continuous and available as bursts. Hence, this is not of much use.","Property, Reasoning",Grade_12_Physics_Data
"Fullwave Rectifier

Circuit Diagram:



The main difference between half and full wave rectifier in circuit, is the usage of two diodes – D1 and D2
Input and Output:



Working:

Case 1

During the positive half of the input cycle of AC voltage, the junction diode D1 is forward biased as shown in the diagram above
Hence, current flows in the above circuit as indicated
The diode D2 is reverse biased and hence no current due to D2
We get output when the same is measured across the load resistance RL due to the diode D1 alone
Case 2

The circuit diagram for the negative half of the input cycle of AC voltage:



During the positive half of the input cycle of AC voltage, the junction diode D2 is forward biased as shown in the diagram above
Hence, current flows in the above circuit as indicated
The diode D1 is reverse biased and hence no current due to D1
We get output when the same is measured across the load resistance RLdue to the diode D2 alone
We observe that one of the diode conducts and the flow of current across the load resistance is in the same direction
Also, current flows during both cycles of the input AC voltage. However, the output though unidirectional has ripple contents. Ripple contents indicate both AC and DC components
We can get only the DC component by passing it through a filter circuit
The filter circuit consists of Resistance and Capacitance
Circuit Diagram:

C has a high capacitance value and serves as a filter circuit
RL is a load resistance
Working:

The capacitance offers low impedance to AC component and offers infinite impedance to DC component
Due to this the AC component is bypassed or filtered out
The DC component produces a voltage drop across the load resistance which is almost DC voltage
Full-wave rectifier – For one cycle of input voltage, we get output twice in the same direction. Hence, the output after full wave rectification = 100 Hz","Property, Reasoning",Grade_12_Physics_Data
"Special purpose p-n junction diode

Zener diode

It is a special purpose diode, named after the inventor C. Zener
It is designed to operate under reverse bias in the breakdown region
The symbol for Zener diode is
 

Fabrication – It has heavily doped p- side and n-side. Due to this, the depletion region formed is very thin about < 10-6. . Hence, the field at the junction is extremely high about -5 * 106 V/m for a small reverse bias voltage of 5 Volts
The high electric field strength is high enough to pull the valence electrons from the host atoms on the p-side which is accelerated to the n-side. This is known as ionisation
Characteristics – The Current – Voltage characteristics of Zener diode is shown below:
As seen from the graph, when the applied reverse bias voltage in Zener diode reaches the breakdown voltage Vz of the zener diode, there is a large change in current
The Zener voltage remains constant even though the current through the diode varies over wide range. This property of Zener diode is used for regulating the supply voltages so that they are constant
Zerner diode as a voltage regulator

                Why do we need to regulate voltage?

We know that the rectifier converts AC current into DC current.  When the AC input voltage of a rectifier fluctuates, the rectified output also fluctuates. Hence, to get a constant DC voltage from the DC unregulated output of the rectifier, we use Zener diode.

                Circuit Diagram:

The unregulated DC voltage from the output of the rectifier is connected to the Zener diode through a series resistance Rs such that the Zener diode is reverse biased
The output is measured across the load resistance RL


Working:

Case 1

When the input voltage increases, the current through Rs and Zener diode increases
This increases the voltage drop across Rs without any change in voltage across the Zener diode
This is because in the breakdown region, the Zener voltage remains constant even though the current in the Zener diode changes
Case 2

Similarly, when the input voltage decreases, the current through Rs and hence Zener diode decreases
The voltage drop across Rs decreases without any change in the voltage across the Zener diode
Thus, the increase or decrease in the input voltage results in increase or decrease of voltage drop across Rs without any change in voltage across the Zener diode

This way, Zener diode behaves as a voltage regulator

Precautions

The zener diode must be reverse-biased
The zener diode must have voltage greater than zener break down voltage Vz
The zener diode is to be used in a circuit where the current is less than the maximum zener current Iz limited by power rating of the given zener diode","Definition, Property, Relation, Reasoning, Effects",Grade_12_Physics_Data
"Opto electronic junction devices

The semiconductor diodes in which the current carriers are generated by the photons(through photo excitation) is called optoelectronic devices

Some of the opto electronic junction devices are –Photodiode, Light emitting diode and solar cell.

Photodiode – Electron-hole pair is generated due to the illumination of the junction with light



Light emitting diode – When forward biased properly, this special p-n junction emits light radiation continuously



Solar cell–When solar light falls on p-n junction, it generates emf which can be used effectively","Definition, Examples, Property",Grade_12_Physics_Data
"Photodiode

Application – Photodiodes are used for detecting optical signal or they act as photo detectors

Circuit Diagram:

This is a special p-n junction diode made up of photosensitive semiconducting material
The diode has a transparent window to allow light to fall on the diode
Working:

It is operated under reverse bias below the breakdown voltage
When photodiode is illuminated with light (photons) , with energy hט greater than the energy gap of the semiconductor, the electron-hole pairs are generated due to the absorption of photons, in or near the depletion region of the diode
Due to electric field at the junction, electrons and holes are separated before they combine
The direction of electric field is such that the electrons reach n-side and the holes reach the p-side
The movement of electrons and holes gives rise to emf
When external load is connected, current flows. The magnitude of the photocurrent depends on the intensity of incident light
In reverse bias, we can observe that as intensity increases, the current also increases","Property, Reasoning, Relation",Grade_12_Physics_Data
"Light emitting diode



Application – They convert electrical energy into light

It is a heavily doped p-n junction which under forward bias emits spontaneous radiation
The diode is encapsulated with a transparent cover so that the emitted light can come out
When the diode is forward biased, the electrons are sent from n layer to p layer and the holes are sent from p to n
Thus, at the boundary due to forward bias, the concentration of the minority carriers increases
The excess minority carriers recombine with the majority carriers, near the junction
On recombination, energy is released in the form of photons
Photons with energy equal to or slightly less than the band gap is emitted
When the forward current of the diode is small, the intensity of the light emitted is small
As the forward current increases, the intensity of light increases and reaches maximum.
Further increase in forward current, results in the decrease of light intensity
LEDs are thus biased in such a way such that the efficiency is maximum
The reverse breakdown voltage of LED is very small (say) 5V. Proper precaution should be taken such that high reverse voltage do not appear across them
LEDs have the following advantages over the conventional lamps:
Low operational voltage and less power
Fast action and no warm-up time required
Long life
Fast on-off switching capacity","Definition, Property, Reasoning, Relation, Effects",Grade_12_Physics_Data
"Solar cell

Principle–These photo voltaic devices convert the optical radiation into electricity


Circuit

When solar light falls on a p-n junction, it generates emf
As the solar radiation is incident at the junction, the junction area is kept much larger for more power generation
A p Si layer of about 300 * 10-6m is taken. About this a still thin layer of about 0.3 * 10-6 m n Si layer is grown on one side by the process of diffusion
The other side of the p-layer is coated with a metal. This servers as a back contact
On the top of n Si layer, metallic grid is deposited. This is called front contact
The light is incident on the grid from the top
Working

The generation of emf by the solar cell, when light falls on, is due to the following three basic processes – (a) generation (b) separation and (c) collection
Generation
The generation of electron-hole paid due to light with energy hט> Eg close to the junction
Separation
The separation of electrons and holes due to the electric field of the depletion region
The electrons are swept to the n-side and the holes to the p-side
Collection
 

The electrons reaching the n-side are collected by the front contact and holes reaching the p-side are collected by the back contact
Thus, the p-side becomes positive and the n-side becomes negative giving rise to photo voltage
When external load is connected, a photo current IL flows through the load
Graph



The graph showing the VI characteristics, with V along the X-axis and I along the Y-axis is as given above
The graph is indicated in the fourth quadrant as solar cell does not draw current but supplies the same to the load
Application

Solar cells are used in power electronic devices in satellites and space vehicles
They are also used as power supply in calculators
Criteria for material selection of material for solar cell

Band gap between 1.0 and 1.8 eV
High optical absorption
Electrical conductivity
Availability of raw material
Cost effective","Definition, Property, Reasoning, Relation",Grade_12_Physics_Data
"Junction Transistor

A junction transistor is a semiconductor device having two junctions and three terminals.   The transistor has three doped regions forming two p-n junctions.

There are two types of transistors, namely, (a) n-p-n transistor (b) p-n-p transistor. The schematic representation and symbols of the two transistors are given below:



Emitter and collector can be differentiated depending upon whether the arrow is present or not.
Emitter has an arrow either pointing inwards or outwards
The arrow direction for npn transistor is indicated outwards in the emitter


The arrow head indicates the direction of the conventional current in the transistor
The arrow direction for pnp transistor is indicated inwards in the emitter
The p-n-p transistor is obtained by growing a thin layer of n-type semiconductor in between two relatively thick layers of p type semiconductor
The n-p-n transistor is obtained by growing a thin layer of p-type semiconductor in between two relatively thick layers of n type semiconductor
The 3 layers are – Emitter, Base and Collector
Emitter – It is the left hand side thick layer of transistor which is heavily doped. This supplies a large number of majority carriers for the current flow through the transistor
Base – It is the thin, central segment which is lightly doped
Collector –It is the right hand side thick layer of transistor which is moderately doped. This segment collects a major portion of the majority carriers supplied by the emitter
Depletion region –The depletion regions are formed at the emitter-base junction and the base-collector junction","Definition, Types, Relation, Property",Grade_12_Physics_Data
"p-n-p transistor

Circuit Diagram



Biasing –
Forward bias- The emitter base junction is forward biased which means the p type emitter is connected to the positive pole of the battery and the n type base is connected to the negative pole of the same battery VEE
Reverse bias – The collector base junction is reverse biased which means the n type base is connected to the positive pole of the battery and the p type emitter is connected to the negative pole of the same batter Vcc
Current –
The emitter current IE, base current IB and the collector current is as indicated in the circuit diagram
Resistance –
The emitter-base junction has low resistance while the base-collector junction has a high resistance
Working

The holes are the majority carriers in the emitter p type semiconductor. This is repelled by the positive terminal of the battery VEE resulting in emitter current IE
The base being lightly doped and thin, the electron density is less. Hence, only 5% of the holes entering the base combine with the electrons resulting in base current IB. The base current is 5% of IE
The remaining 95% of the holes pass over to the collector on account of the high negative potential of the battery Vcc. This results in collector current Ic which is 95% of IE
When the hole coming from the emitter combines with the electron in the base, the deficiency of electron in the base is compensated by the flow of electrons from the negative terminal of the battery VEE to the base through the connecting wire
The current in the p-n-p transistor is due to holes however the concentration is maintained at any time; In the external circuit, the current is due to flow of electrons
From the circuit, we fine IE = IB + Ic","Definition, Property, Reasoning, Relation, Formula",Grade_12_Physics_Data
"n-p-n transistor

Circuit Diagram



Biasing –
Forward bias- The emitter base junction is forward biased which means the n type emitter is connected to the negative pole of the battery and the p type base is connected to the positive pole of the same battery VEE
Reverse bias – The collector base junction is reverse biased which means the ptype base is connected to the negative pole of the battery and the n type emitter is connected to the positive pole of the same batter Vcc
Current –
The emitter current IE, base current IB and the collector current is as indicated in the circuit diagram
Resistance –
The emitter-base junction has low resistance while the base-collector junction has a high resistance
Working

The electrons are the majority carriers in the emitter n type semiconductor. This is repelled by the negative terminal of the battery VEE resulting in emitter current IE
The base being lightly doped and thin, the electron density is less. Hence, only 5% of the electrons entering the base combine with the holes resulting in base current IB. The base current is 5% of IE
The remaining 95% of the electrons pass over to the collector on account of the high positive potential of the battery Vcc. This results in collector current Ic which is 95% of IE
When the electron coming from the emitter combines with the hole in the base, the deficiency of hole in the base is compensated by the flow of holes from the positive terminal of the battery VEE to the base through the connecting wire
The current in the n-p-n transistor and the external circuit is due to  the flow of electrons
From the circuit, we fine IE = IB + Ic","Definition, Property, Reasoning, Relation, Formula",Grade_12_Physics_Data
"Transistor configuration

The possible configurations of transistor are (a) Common Base (b) Common Emitter (c) Common Collector. The same can be represented as given below:

Common Emitter configuration

The emitter of the transistor is common to both the input and the output


Common Base configuration

The base of the transistor is common to both the input and the output
 

Common Collector configuration

The collector of the transistor is common to both the input and the output","Types, Property",Grade_12_Physics_Data
"Common Emitter characteristics

When the transistor is used in Common Emitter configuration, the input is measured between the base and the emitter; the output is measured between the collector and the emitter

Input characteristics

The variation of base current IB with base-emitter voltage VBE is called input characteristics
While studying the dependence of IB on VBE , the collector-emitter voltage VCE is kept fixed
The current is small as long as VBE is less that the barrier voltage
When VBE is greater than the barrier voltage, the curves look similar to that of a forward biased diode
Input dynamic resistance of transistor –Input dynamic resistance of transistor (Ri) is defined as the ratio of change in base-emitter voltage δVBE to the resulting change in the base current δIB at constant collector-emitter voltage VCE
Ri = (  δVBE / δIB ) when VCE is constant



Output characteristics

The variation of collector current IC with collector-emitter voltage VCE is called output characteristics
While studying the dependence of IC on VCE , the base current IB is kept constant
From the graph, we see that as long as the collector-emitter junction is reverse biased, we get IC almost independent of VCE
We also find that for the given value of VCE, IC is large for large value of IB
Output dynamic resistance of transistor – Output dynamic resistance of transistor (Ro) is defined as the ratio of change in collector-emitter voltage δVCE to the resulting change in the collector current δICat constant base current IB
Ri = (  δVCE / δIC ) when IBis constant","Definition, Property, Formula, Relation",Grade_12_Physics_Data
"Transistor as a switch

Circuit Diagram

Let us consider n-p-n transistor which is of common emitter configuration


Working

Using Kirchhoff’s law for the above circuit,

For the input side,

-VBB +  IBRB + VBE  = 0

In other words, VBB  =   IBRB + VBE    ----------------------------------------------(1)

Similarly, in the case of output side,

-VCC + IcRc + VCE = 0

In other words, VCE=  VCC  -  IcRc ----------------------------------------------(2)

Assume VBB as the DC input voltage Vi and VCE as output voltage Vo

Hence (1) and (2) becomes,

Vi  =   IBRB + VBE------------------------------------------------------------------------------------(3)

Vo=  VCC  -  IcRc------------------------------------------------------------------------------------(4)

Let us consider the change of Vo as Vi changes from 0 to higher value

Case 1 – When Vi < 0.6 V, there is no collector current. Hence, from (4), we get

Vo=  VCC 

The transistor is said to be in cut off state

Case 2 – When 0.6V <Vi <= 1.0 V, there will be some collector current.

 Hence, from (4), we get Ic increases. Hence, as Ic term is subtracted in (4) the value of Vo output voltage decreases.

In this range, as Ic increases almost linearly, so Vo decreases linearly. The transistor is said to be in active state at this stage

Case 3 –When Vi> 1.0 V, Vo is found to decrease towards zero but not zero. The collector current Ic becomes maximum and the transistor is in saturation state.

Graph

The relationship between Vi and Vo is called transfer characteristic curve of a base biased transistor in Common emitter configuration. The above mentioned regions – Cut off region, Active region and Saturation region are marked in the graph.

In cut-off state when Vi is low, the transistor is not working and hence said to be in switched off state.  In saturation state when Vi is high, the transistor is fully conducting as Ic is nearly equal to maximum or saturated. As the transistor is fully conducting, it is said to be in switched on state.

Thus the transistor acts as a switch.

","Definition, Formula, Relation, Reasoning, Property",Grade_12_Physics_Data
"Transistor as an amplifier

Amplifier – It is a device which is used for increasing the amplitude of the alternating voltage, current or power

Amplifier using n-p-n transistor in common emitter configuration is shown below:

Circuit Diagram:



The emitter is common to both the input and output circuit
The input circuit is forward biased with the battery VBB and the output circuit is reverse biased with the battery Vcc
RL is the load resistor connected in the collector circuit
Input and output:

Working:

Case 1 – No AC signal voltage is applied to the input circuit

When no AC signal voltage is applied to the input circuit, let the emitter current, base current and collector current be IE, IB and Ic
By applying Kirchhoff’s law, we know, IE = IB + Ic
From the output circuit, we find, VCC = VCE + Icily Hence, VCE = VCC - IcRL
Case 2 – When AC signal voltage is applied to the input circuit

There will be a change in the emitter-base voltage and hence the emitter current
As emitter current changes, collector current changes
In equation, VCE = VCC - IcRL as the collector current changes, the collector voltage VCE changes accordingly as VCC is fixed
The change in the collector voltage appears to be amplified output of the input variation
Current and Voltage gain

The change in the output current by the input current is called current gain indicated by βac
βac = Change in Ic  / Change in IB = ic / ib

The change in the output voltage by the input voltage is called voltage gain indicated by Av
Av = vo / vi = δVCE / r δIB  where r is the input resistance

    = - βac RL / r

The negative sign indicates that the output voltage is opposite with the phase of input voltage

Power gain

The power again is the product of the current gain and voltage gain.
Ap = βac * Av
The power gain is also defined as the ratio of change in output power to the change in input power","Definition, Property, Formula, Relation, Reasoning",Grade_12_Physics_Data
"Digital electronics – Introduction

Logic gates

In digital electronics, we consider only two values of voltage – high represented as 1 and low represented as 0
Logical gates are electronic circuits
Just as a gate controls the flow of vehicles, the logical gates controls the flow of information based on the logical relations. Only if the logical relations are satisfied, the digital circuit allows the signal to pass through
The logic gates are the basic building blocks of digital electronics.
We can say logic gate is a digital circuit which follows a logical relationship between the input and output
Some of the basic types of logical gate are – NOT, OR, AND, NOR and NAND. Every gate has a single or multiple input and output
Every gate is represented by a symbol
The input and output of the logical gate is represented in the form of a truth table. The truth table considers all possible combinations of the input and shows the respective output in each case
NOT gate

The symbol and truth table for NOT gate is as given below:



OR gate

The symbol and truth table for NOT gate is as given below:



AND gate

The symbol and truth table for NOT gate is as given below:



NOR gate

The symbol and truth table for NOT gate is as given below:



NAND gate

The symbol and truth table for NOT gate is as given below:



Universal gate

The NAND gate and the NOR gate are called as universal gates as any Boolean function can be implemented without the need to use any other gate.","Definition, Property, Types, Reasoning",Grade_12_Physics_Data
"Integrated circuits

The components like diode, transistor, resistor, inductor, and capacitor are connected by soldering wires in desired manner, to make conventional circuits
 

But still such circuits are still bulky; They are also less reliable and less shock proof
The concept of fabricating an entire circuit on a small single chip of semiconductor is called Integrated circuit; The chip dimensions are as small as 1mm * 1 mm or even less than that


The integrated chip can be categorised into (a) linear or analog IC (b) digital IC
Linear or Analog IC – The signals change continuously over a range of values between maximum and minimum; The output varies linearly as the input ; The most useful linear IC is an operational amplifier
Digital IC – These have two values – high and low; These contain logical gates. – Depending upon the number of circuit components or logic gates used, they can be classified into SSI, MSI, LSI or VLSI
If the number of gates is less than or equal to 10, we call it as SSI – small scale integration
If the number of gates is less than or equal to 100, we call it as MSI – medium scale integration
If the number of gates is less than or equal to 1000, we call it as LSI – large scale integration
If the number of gates is greater than 1000, we call it as VLSI – very large scale integration","Definition, Property, Types, Relation",Grade_12_Physics_Data
"Metals They possess very low resistivity or high conductivity.
ρ ~ 10-2.10-8 Ωm, σ ~102. 108 Sm-1",Property,Grade_12_Physics_Data
"Semiconductors They have resistivity or conductivity intermediate to metals and insulators.
ρ ~ 10-5. 106 Ωm, σ ~ 10+5 .10-6 Sm-1",Property,Grade_12_Physics_Data
"Types of Semiconductors Types of semiconductors are given below:
(i) Elements Semiconductors These semiconductors are available in natural form, e.g. silicon and germanium.
(ii) Compound Semiconductors These semiconductors are made by compounding the metals, e.g. CdS, GaAs, CdSe, InP, anthracene, polyaniline, etc.","Types, Definition, Examples",Grade_12_Physics_Data
"Insulators They have high resistivity or low conductivity.
ρ ~ 1011 . 1019 Ωm, σ ~ 10-11. 10-19 Sm-1",Property,Grade_12_Physics_Data
"Energy Band In a crystal due to interatomic interaction, valence electrons of one atom are shared by more than one atom in the crystal. Now, splitting of energy level takes place. The collection of these closely spaced energy levels are called an energy band.
","Definition, Property",Grade_12_Physics_Data
Valence Band Valence band are the energy band which includes the energy levels of the valence electrons,Definition,Grade_12_Physics_Data
Conduction Band Conduction band is the energy band above the valence band.,Definition,Grade_12_Physics_Data
Energy Band Gap The minimum energy required for shifting electrons from valence band to conduction band is called energy band gap (Eg ).,Definition,Grade_12_Physics_Data
 Fermi Energy It is the maximum possible energy possessed by free electrons of a material at absolute zero temperature (i.e. 0K),Definition,Grade_12_Physics_Data
" On the basis of purity , semiconductors are of two types:
(i) Intrinsic Semiconductors It is a pure semiconductor without any significant dopant species present
ne  = nh =ni 
where , ne and nh are number densities of electrons and holes respectively and ni  is called intrinsic carrier concentration.
An intrinsic semiconductor is also called an undoped semiconductor or i-type semiconductor
(ii) Extrinsic Semiconductors Pure semiconductor when doped with the impurity, it is known as extrinsic semiconductor.
Extrinsic semiconductors are basically of two types: (a) n-type semiconductors
(b) p-type semiconductors
NOTE: Both the type of semiconductors are electrically neutral.","Types, Property, Definition, Relation",Grade_12_Physics_Data
"In n-type semiconductor, majority charge carriers are electrons and minority charge carriers are holes, i.e. ne> nh .
Here, we dope Si or Ge with a pentavalent element, then four of its electrons bond with the four silicon neighbours, while fifth remains very weakly bound to its parent atom.",Property,Grade_12_Physics_Data
"In p-type semiconductor, majority charge carriers are holes and minority charge carriers are eletron i.e. nh  > ne .
In a p-type semiconductor, doping is done with trivalent impurity atoms, i.e. those atoms which have three valence electrons in their valence shell.",Property,Grade_12_Physics_Data
"At equilibrium condition, ne nh = ni2","Formula, Relation",Grade_12_Physics_Data
"Minimum energy required to create a hole-electron pair, hv > Eg  where, Eg  is energy band gap.","Formula, Relation",Grade_12_Physics_Data
"Electric current, I = eA(neve + nhvh) where, A is area of cross-section.
where, ve and vh are speed of electron and hole respectively.","Formula, Relation",Grade_12_Physics_Data
p-n Junction A p-n junction is an arrangement made by a close contact of n-type semiconductor and p-type semiconductor.,Definition,Grade_12_Physics_Data
"Formation of Depletion Region in p-n Junction During formation of p-n junction, due to the concentration gradient across p and n sides, holes diffuse from p-side to n-side (p —> n) and electrons diffuse from n-side to p-side (n —> p).
This space charge region on either side of the junction together is known as depletion region.
Depletion region is free from mobile charge carriers. Width of depletion region is of the order of 10-6 m. The potential difference developed across the depletion region is called the potential barrier.","Definition, Property, Reasoning",Grade_12_Physics_Data
Semiconductor Diode/p-n Junction Diode A semiconductor diode is basically a p-n junction with metallic contacts provided at the ends for the application of an external voltage.,Definition,Grade_12_Physics_Data
The graphical relations between voltage applied across p-n junction and current flowing through the junction are called I-V characteristics of junction diode.,Definition,Grade_12_Physics_Data
"(i) Junction diode is said to be forward bias when the positive terminal of the external
battery is connected less to the p-side and negative terminal to the n-side of the diode.",Definition,Grade_12_Physics_Data
"The DC resistance of a junction diode,
rDC = V/I",Formula,Grade_12_Physics_Data
"The dynamic resistance of junction diode,
rAC = ∆V/∆I",Formula,Grade_12_Physics_Data
"Diode as Rectifier The process of converting alternating voltage/current into direct voltage/current is called rectification. Diode is used as a rectifier for converting alternating current/voltage into direct current/voltage.
There are two ways of using a diode as a rectifier i.e
(i) Diode as a Half-Wave Rectifier Diode conducts corresponding to positive half cycle and does not conduct during negative half cycle. Hence, AC is converted by diode into unidirectional pulsating DC. This action is known as half-wave rectification.
(ii) Diode as a Full-Wave Rectifier In the full-wave rectifier, two p-n junction diodes, D1 and D2 are used.
Its working based on the principle that junction diode offer very low resistance in forward bias and very high resistance in reverse bias.","Definition, Types, Property",Grade_12_Physics_Data
